form,city,ward,date,time,gender,seller_level_name,sellers_level_code,primary_drug_sold,secondary_drug_sold,3_stock_heroin_covid,3_stock_cocaine_covid,3_stock_meth_covid,4_g_heroin_sold_weekly_gms,4_g_cocaine_sold_weekly_gms,4_g_meth_sold_weekly_gms,5_heroin_sales_covid,5_cocaine_sales_covid,5_meth_sales,6_sell_to_sellers,6a_herion,6a_cocaine,6a_meth,6b_herion_units,6b_herion_g,6b_cocaine_units,6b_cocaine_g,6b_meth_units,6b_meth_grams,6c_herion,6c_cocaine,6c_meth,7_sell_to_users,7a_herion,7a_cocaine,7a_meth_,7b_herion_units,7b_herion_g,7b_cocaine_units,7b_cocaine_g,7b_meth_units,7b_meth_g,7c_herion,7c_cocaine,7c_meth,8_area_1,8_area_2,8_area_3,8_area_4,9_years_working,10_number_sellers_same_level,11_can_link
PTAKM021,pta,Hostel,17/09/2020,13h20,1,Snyman,2,1,0,1,,,60,,,2,,,0,,,,,,,,,,,,,1,30,,,2,0.4,,,,,3,,,,,,,8,3,0
PTAMLM0022,pta,Eersterust,17/09/2020,15h00,1,runner,1,1,0,,,,90,,,2,,,0,,,,,,,,,,,,,1,20,,,2,0.4,,,,,3,,,Eersterust,,,,5,5,1
PTAARTS023,pta,Soshanguve,17/09/2020,12h15,1,Runner,1,1,2,1,1,,40,5,,2,2,,0,,,,,,,,,,,,,1,70,,,3,0.6,,,,,3,,,,,,,5,10,0
PTAMLR024,pta,Hammanskraal Station,17/09/2020,14h23,1,Spaceman,2,1,0,1,,,15,,,2,,,0,,,,,,,,,,,,,1,45,,,2,0.4,,,,,3,,,Hammanskraal Station,,,,5,25,0
JHBANZ001,jhb,,22/09/2020,16h05,1,,1,2,0,,1,,,7.5,,,2,,0,,,,,,,,,,,,,1,,50,,,,5,0.25,,,,4,,,,,,,,0
JHBANZ002,jhb,,22/09/2020,16h30,1,,1,1,0,1,,,20,,,2,,,0,,,,,,,,,,,,,1,60,,,4,0.8,,,,,3,,,,,,,,,0
JHBLMR003,jhb,Senaoane,23/09/2020,12h10,1,Makwera,2,2,0,,1,,,50,,,2,,0,,,,,,,,,,,,,1,,70,,,,5,0.25,,,,5,,Senaoane,,,,3,8,0
JHBLMR004,jhb,Dlamini,23/09/2020,13h20,1,Seller,1,2,0,,1,,,150,,,2,,0,,,,,,,,,,,,,1,,90,,,,3,0.15,,,,5,,Dlamini,,,,5,0,0
JHBTAM005,jhb,,23/09/2020,02h58,1,Deller,2,1,2,1,1,,100,50,,2,2,,1,10,12,,50,10,50,3,,,2,2,,1,50,60,,3,0.6,3,0.15,,,3,3,,Yeoville,,,,10,50,0
JHBTAM006,jhb,,,13h40,1,Runner,1,2,0,,1,,NA,17.5,,,2,,0,,,,,,,,,,,,,1,,20,,,,10,0.5,,,,3,,Yeoville,,,,1,5,0
JHBLMB007,jhb,Senaoane,23/09/2020,11h40,1,Makweru,2,1,0,1,,,80,,,2,,,0,,,,,,,,,,,,,1,100,,,3,0.6,,,,,5,,,Senaoane,,,,10,4,0
JHBANZ008,jhb,Central,23/09/2020,,1,,1,2,0,,1,,,100,,,2,,0,,,,,,,,,,,,,1,,30,,,,4,0.2,,,,5,,Cape Agulhas,,,,10,20,0
JHBSEG009,jhb,Central,23/09/2020,14h44,1,,1,1,2,0,0,,140,25,,2,2,,1,3,7,,300,60,200,10,,,2,2,,1,350,300,,4,0.8,2,0.1,,,3,3,,Hillbrow Recreational Shelter,,,,6,3,0
JHBANZ009,jhb,Central,,14h47,,,1,1,0,1,,,84,,,2,,,0,,,,,,,,,,,,,1,35,,,4,0.8,,,,,3,,,R / Shelter (Hlbrw),,,,1,5,0
JHBSEG010,jhb,Hillbrow,23/09/2020,13h422,1,Runner,1,1,2,1,1,,200,50,,2,2,,1,7,10,,100,20,200,10,,,2,2,,1,700,500,,3,0.6,1,0.05,,,5,5,,Hillbrow,,,,7,8,1
JHBCM011,jhb,,22/09/2020,13h50,1,Dealer,2,1,0,1,,,200,,,0,,,1,15,,,50,10,,,,,2,,,1,100,,,3,0.6,,,,,3,,,CBD,,,,10,20,0
JHBRKK012,jhb,,23/09/2020,13h53,2,Runner,1,2,1,1,1,,300,75,,2,2,,0,,,,,,,,,,,,,1,1000,500,,3,0.6,2,0.1,,,5,5,,Yeoville,,,,4,3,1
JHBKR013,jhb,,23/09/2020,13h55,1,Runner (Snyman),1,1,2,1,1,,300,75,,2,2,,0,,,,,,,,,,,,,1,60,60,,5,1,5,0.25,,,5,5,,Jabulani,,,,10,3,1
JHBNM014,jhb,,23/09/2020,13h55,1,Snyman,1,1,2,1,1,,300,75,,2,2,,0,,,,,,,,,,,,,1,80,90,NA,5,1,5,0.25,,,5,5,,Jabulani,,,,10,4,1
JHBTQ015,jhb,Central,23/09/2020,13h23,1,Boss,3,1,4,1,1,1,2000,,,2,2,2,1,500,200,100,1000,200,1000,50,500,100,3,3,3,0,,,,,,,,,,,,,Sandton,JHB,,,20,2,0
JHBTQ016,jhb,CBD,23/09/2020,15h38,1,,2,1,2,1,1,,400,45,,2,2,,0,,,,,,,,,,,,,1,400,400,,,,,,,,5,5,,CBD,Bree Taxi route,,,15,4,0
JHBTQ017,jhb,CBD,23/09/2020,15h25,1,,1,1,2,1,1,,100,20,,2,2,,0,,,,,,,,,,,,,1,150,100,,3,0.6,2,0.1,,,3,3,NA,CBD,,,,,8,0
JHBSS018,jhb,,23/09/2020,10h40,1,,2,1,2,0,0,,200,25,,2,2,,0,,,,,,,,,,,,,1,100,100,,5,1,4,0.2,,,5,5,,Jabulani,,,,10,3,0
